interview_id,participant_code,segment,persona,branch_code,region,topic_primary,sentiment,interview_date,duration_min,theme_keys,key_quote,translated,quote_verified,evidence_items
INT-008,P-008a,digital,Digital-first Commuter,n/a,Central,app_login,negative,2026-02-11,58,T04;T10,"It logged me out three times and then locked my card, all before eight in the morning",no,yes,22
INT-011,P-011a,branch_service,Rural Regular,BR-091,South,branch_closure,mixed,2026-02-11,64,T07;T03,"If this branch goes I do not bank online, I just stop banking",yes,yes,18
INT-014,P-014a,sme_onboarding,SME Owner - abandoned,BR-022,North,kyc_documents,negative,2026-02-12,71,T01;T02,"After the third letter asking for the same papers I went to the fintech and was open in a day",yes,yes,29
INT-018,P-018a,digital,App Abandoner,n/a,Central,app_login,negative,2026-02-12,52,T04;T05,"I wanted to check a fee and the app made it feel like I had done something wrong",no,yes,16
INT-021,P-021a,branch_service,Branch Advisor,BR-005,North,staffing_roster,negative,2026-02-13,68,T03;T09,"At midday we are two people and a queue, at ten in the morning we are five people and no customers",yes,yes,26
INT-023,P-023a,sme_onboarding,SME Finance Manager,BR-005,North,credit_opacity,mixed,2026-02-13,77,T02;T10,"The money arrived eventually but for nine days we did not exist",yes,yes,25
INT-027,P-027a,complaints,Recent Complainant - resolved,BR-014,Central,complaint_resolution,mixed,2026-02-16,59,T06;T09,"The second person fixed it in one call, which makes you wonder about the first three weeks",yes,yes,21
INT-031,P-031a,digital,Digital-first Commuter,n/a,North,fee_opacity,negative,2026-02-16,55,T05;T04,"The fee was six euros, the anger was that nobody had ever told me",yes,yes,17
INT-034,P-034a,sme_onboarding,Eva SME Optimizer,BR-031,North,kyc_documents,negative,2026-02-17,73,T01;T10,"Every time I sent a document it went into a tunnel, no receipt, no name, nothing",yes,yes,28
INT-038,P-038a,branch_service,Henk Anchored Traditionalist,BR-087,South,queue_wait,negative,2026-02-17,62,T03;T07,"I do not mind waiting, I mind not knowing if I will be seen before the doors close",yes,yes,20
INT-041,P-041a,sme_onboarding,Eva SME Optimizer,BR-031,North,kyc_documents,negative,2026-02-18,74,T01;T02;T10,"I sent the same extract twice, once as PDF once as a photo, nobody confirmed either",yes,yes,27
INT-047,P-047a,complaints,Complaints Handler,n/a,Central,complaint_resolution,negative,2026-02-19,66,T06;T09,"The system lets me close a case but not own one, there is a difference",yes,yes,23
INT-052,P-052a,digital,Digital-first Commuter,n/a,Central,app_login,positive,2026-02-19,48,T04,"It works fine for me, my problem is when it tells my father he is not himself",no,yes,13
INT-058,P-058a,branch_service,Branch Advisor,BR-052,Central,staffing_roster,negative,2026-02-20,69,T03;T09,"I know the rota is wrong, the queue knows the rota is wrong, only the rota does not know",yes,yes,25
INT-063,P-063a,sme_onboarding,SME Owner - credit declined,BR-018,South,credit_opacity,negative,2026-02-20,75,T02;T10,"The letter said no in three lines after five weeks of silence, that is not a decision, that is a door",yes,yes,30
INT-070,P-070a,branch_service,Rural Regular,BR-096,South,branch_closure,negative,2026-02-23,63,T07;T03,"Fourteen kilometres is nothing to a bank and everything to a seventy-year-old",yes,yes,19
INT-077,P-077a,digital,App Abandoner,n/a,Central,fee_opacity,mixed,2026-02-24,51,T05;T04,"The tariff PDF is thirty pages, I am a person not a compliance department",yes,yes,15
INT-082,P-082a,complaints,Recent Complainant - unresolved,BR-041,North,complaint_handoff,negative,2026-02-25,70,T06;T10,"Each person was kind and each person started from zero, kindness without memory is just noise",yes,yes,27
INT-088,P-088a,sme_onboarding,SME Finance Manager,BR-026,Central,kyc_documents,negative,2026-02-26,72,T01;T02,"Our accountant now keeps a Calder folder, a whole folder, just for re-sending things",yes,yes,26
INT-095,P-095a,branch_service,Henk Anchored Traditionalist,BR-087,South,staff_service,positive,2026-02-27,60,T03;T09,"Marta at the counter knows my name, that is the whole reason I am still here",yes,yes,16
INT-101,P-101a,digital,Digital-first Commuter,n/a,North,app_login,mixed,2026-02-27,54,T04;T10,"The app is fine until something goes wrong, then there is nobody home",yes,yes,15
INT-108,P-108a,complaints,Complaints Handler,n/a,Central,complaint_resolution,negative,2026-03-02,67,T06;T09,"I can apologize in three languages but I cannot refund one euro without a form",yes,yes,22
INT-112,P-112b,branch_service,Henk Anchored Traditionalist,BR-087,South,queue_wait,negative,2026-03-03,61,T03;T07,"Tuesdays I just come back another day, the queue is past the door",yes,yes,19
INT-118,P-118a,sme_onboarding,Eva SME Optimizer,BR-031,North,credit_opacity,mixed,2026-03-04,76,T02;T10,"My relationship manager fought for us, I could hear it, but the machine does not fight back visibly",yes,yes,24
INT-124,P-124a,branch_service,Branch Advisor,BR-018,South,staff_empowerment,mixed,2026-03-05,65,T09;T03,"I can waive a fee in my head a hundred times a day, in the system never",yes,yes,21
INT-130,P-130a,branch_service,Branch Advisor,BR-052,Central,staffing_roster,negative,2026-03-05,66,T03;T09,"The rota was written in 2017, the town has changed since then, the rota has not",yes,yes,24
INT-141,P-141a,digital,App Abandoner,n/a,South,app_login,negative,2026-03-06,53,T04;T05,"Three verification apps to check one balance, I keep the branch number written down",yes,yes,14
INT-152,P-152a,complaints,Recent Complainant - resolved,BR-041,North,complaint_resolution,positive,2026-03-09,57,T06;T09,"When one person finally owned it, it took twenty minutes, that is the tragedy",yes,yes,18
INT-167,P-167a,complaints,Recent Complainant - unresolved,BR-014,Central,complaint_handoff,negative,2026-03-09,69,T06;T09,"Four people apologized and none of them could see what the last one had said",yes,yes,31
INT-176,P-176a,sme_onboarding,SME Owner - abandoned,BR-022,North,kyc_documents,negative,2026-03-10,70,T01;T02,"It is not the documents, it is being treated as suspicious by my own bank of fifteen years",yes,yes,25
