comment_id,theme,channel,sentiment,paraphrase
C-0001,Missing or wrong items,drive-thru,negative,Order arrived with items missing; had to return for a remake
C-0002,Missing or wrong items,delivery,negative,Received the wrong side with the order; no resolution offered
C-0003,Missing or wrong items,in-store,negative,Two of the three items were incorrect at handoff
C-0004,Missing or wrong items,drive-thru,negative,Asked for extra sauce; left without it and without acknowledgment
C-0005,Missing or wrong items,app,negative,Verified order still packed incorrectly; refund process was slow
C-0006,Long waits & understaffing,drive-thru,negative,Waited in the queue well past the usual time on a quiet night
C-0007,Long waits & understaffing,delivery,negative,Driver waited at the counter because the order was not ready
C-0008,Long waits & understaffing,in-store,negative,Only one person at the counter during peak; queue backed up
C-0009,Long waits & understaffing,drive-thru,negative,Lunch break nearly gone before the order was handed over
C-0010,Long waits & understaffing,in-store,negative,Seemed understaffed; service slowed noticeably mid-order
C-0011,General service dissatisfaction,in-store,negative,Staff seemed confused about the order and overwhelmed by the rush
C-0012,General service dissatisfaction,drive-thru,negative,Had to repeat the order multiple times at the speaker
C-0013,General service dissatisfaction,in-store,negative,Three people touched the order and it still came out wrong
C-0014,General service dissatisfaction,kiosk,neutral,Order entry worked fine; handoff was the weak point
C-0015,Rude or unprofessional,in-store,negative,Service felt dismissive when I asked a question about the menu
C-0016,Rude or unprofessional,drive-thru,negative,Response at the window felt rushed and impatient
C-0017,Ignored / no acknowledgment,in-store,negative,Stood at the counter without being acknowledged for several minutes
C-0018,Ignored / no acknowledgment,drive-thru,negative,No response at the speaker; drove away
C-0019,Cleanliness left undone,in-store,negative,Dining area needed clearing; tables were left uncleaned during the visit
C-0020,Training gaps,in-store,negative,Crew member did not know how to build the item and had to ask twice
C-0021,Training gaps,drive-thru,negative,Order was passed to two people before someone knew how to make it
C-0022,Positive service,drive-thru,positive,Order was correct, friendly, and the wait was reasonable
