painpoint_id,pain_point,service_stage,solution_category,backlog_status,source_methods
ta-001,Live labour-hour figures arrive a day late,Pay & timekeeping,Technology,Solvable but unplanned,survey; interviews
ta-002,Hours count as worked only after the shift ends,Pay & timekeeping,Technology,Solvable but unplanned,interviews
ta-003,No visible warning when a shift crosses the five-hour break boundary,Scheduling,Technology,Already planned,survey; ticketing
ta-004,Auto-filled breaks land at the wrong end of long shifts,Scheduling,Technology,Solvable but unplanned,interviews; site visits
ta-005,Open shifts are excluded from hour calculations,Scheduling,Technology,Already planned,interviews
ta-006,Deployment charts must be transcribed to paper twice a day,Scheduling,Technology,Solvable but unplanned,site visits; interviews
ta-007,Crew cannot see their own punch history on mobile,Pay & timekeeping,Technology,Solvable but unplanned,survey; interviews
ta-008,Leave shifts must be entered one by one for a week of leave,Scheduling,Technology,Already planned,interviews; ticketing
ta-009,Missed pay is added as a phantom shift in the next pay week,Pay & timekeeping,Process,Outside platform scope,interviews; payroll
ta-010,Pay periods are effectively never reopened for corrections,Pay & timekeeping,Process,Outside platform scope,interviews
ta-011,Managers share logins to fix their own timekeeping,Scheduling,Process,Outside platform scope,interviews
ta-012,Compliance warnings pile up and get dismissed without investigation,Reporting,Process,Solvable but unplanned,interviews; area leaders
ta-013,Feature availability varies by restaurant with no baseline,Scheduling,Education,Solvable but unplanned,interviews; survey
ta-014,Most managers have never heard of the school calendar feature,Scheduling,Education,Already planned,survey; interviews
ta-015,Report literacy is low for group-level labour reporting,Reporting,Education,Already planned,survey; interviews
ta-016,Role changes take up to two weeks to reach the platform,Pay & timekeeping,Integration,Solvable but unplanned,interviews; ticketing
ta-017,Forecast data transfers with a two-hour delay from the forecasting system,Scheduling,Integration,Solvable but unplanned,interviews
ta-018,The payroll engine and the platform show different figures,Reporting,Integration,Outside platform scope,interviews; payroll
ta-019,New crew receive no standardised training on the platform,Onboarding & access,Education,Solvable but unplanned,survey; interviews
ta-020,Training completions sync late from the learning platform,Platform changes,Integration,Already planned,ticketing
