# ILLUSTRATIVE SAMPLE — figures transformed from the engagement register; not actual chain data.
# Self-service kiosk channel mix and adoption by store format (share of in-store sales via kiosk).
store_format,period,kiosk_share_of_in_store_sales_pct,measure_note
network,Year 1,2.5,illustrative — low single digits at channel launch
network,Year 2,5.0,illustrative — doubled year over year
network,Year 3,15.0,illustrative — third consecutive doubling
drive_thru_led,Year 1,1.5,illustrative
drive_thru_led,Year 2,3.0,illustrative
drive_thru_led,Year 3,9.0,illustrative — machine present but counter flow dominates
mall,Year 1,5.0,illustrative
mall,Year 2,10.0,illustrative
mall,Year 3,30.0,illustrative — dwell time and mall traffic drive usage
inline,Year 1,7.0,illustrative
inline,Year 2,14.0,illustrative
inline,Year 3,41.0,illustrative — highest-usage standard format
high_usage_franchisee_group,Year 3,70.0,illustrative — mature floor-role program
pilot_store_pair,Year 2,60.0,illustrative — dedicated ordering-zone pilots
new_install_target,First 6 months,80.0,illustrative target — floor-role standard trigger
global_goal,End 2025,100.0,illustrative target — adoption goal
