record_id,source_id,kind,participant_or_system,phase,observation,metric_value,synthetic_label
E01,interview-access-rider-01,quote,Access rider,discover,"I need one place to see whether the lift is working before I leave home.",,synthetic
E02,interview-dispatcher-02,quote,Transit dispatcher,discover,"When a route changes, I copy the same update into three systems.",,synthetic
E03,field-observation-hub-03,quote,Hub coordinator,discover,"The accessible pickup point is clear, but the handoff to the shuttle is not.",,synthetic
E04,service-log-2026-q2,telemetry,Metrovale service log,discover,Average disruption acknowledgement minutes,42,synthetic
E05,service-log-2026-q2,telemetry,Metrovale service log,discover,Accessible trip completion rate percent,61,synthetic
E06,interview-caregiver-04,quote,Caregiver,define,"I want a named person to call when the planned connection disappears.",,synthetic
E07,document-continuity-brief,document,Recovery programme brief,define,"The service must provide an accessible status update and a human escalation path.",,synthetic
E08,interview-driver-05,quote,Shuttle driver,develop,"A short reason code would help me explain the delay without guessing.",,synthetic
E09,prototype-test-01,quote,Access rider prototype tester,develop,"The recovery message made sense, but I could not tell who owned the next step.",,synthetic
E10,service-log-2026-q3,telemetry,Metrovale pilot log,deliver,Average disruption acknowledgement minutes,12,synthetic
E11,service-log-2026-q3,telemetry,Metrovale pilot log,deliver,Accessible trip completion rate percent,88,synthetic
E12,interview-hub-lead-06,quote,Hub lead,deliver,"The shared board lets us see the same case state during a handover.",,synthetic
