# drive-thru-pilot-sample.csv — SYNTHETIC ILLUSTRATIVE SAMPLE
# Client anonymized: a global quick-service restaurant chain.
# All names, figures, and data are illustrative and anonymized.
# Metric deltas across the two sequenced pilots, in percentage points
# (unless noted). pilot_1_hospitality = the 10-restaurant hospitality
# rollout (test vs baseline); pilot_2_delight_hour = the 5-vs-5 two-arm
# experiment measured during the intervention hour only (test vs national).
# Regenerates Figures 4 and 5 of the article; fixed seed for reproducibility.
metric,pilot,comparison,value_pp,note
overall_satisfaction,pilot_1_hospitality,test_vs_baseline,14,"Overall drive-thru satisfaction (top-box share), start of pilot 1 to end of pilot 2 (illustrative)"
service_satisfaction,pilot_1_hospitality,test_vs_baseline,7,"Service satisfaction, same window (illustrative)"
friendliness,pilot_1_hospitality,test_vs_baseline,3,"Friendliness share of drive-thru comments, same window (illustrative)"
negative_experience_share,pilot_1_hospitality,test_vs_baseline,-4,"Bottom-of-ladder share, all channels (illustrative)"
negative_experience_dt,pilot_1_hospitality,test_vs_baseline,-3,"Bottom-of-ladder share, drive-thru only (illustrative)"
service_satisfaction_hour,pilot_2_delight_hour,test_vs_national,1.5,"Service satisfaction, intervention hour only (illustrative)"
service_quality,pilot_2_delight_hour,test_vs_national,2,"Service quality rating, intervention hour only (illustrative)"
order_accuracy,pilot_2_delight_hour,test_vs_national,3.5,"Order accuracy rating, intervention hour only (illustrative)"
order_speed,pilot_2_delight_hour,test_vs_national,0.2,"Order speed rating, intervention hour only — flat, no speed cost (illustrative)"
positive_sentiment,pilot_2_delight_hour,test_vs_national,3,"Positive-sentiment share of verbatim comments, hour only (illustrative)"
friendliness_mentions,pilot_2_delight_hour,test_vs_national,4,"Friendliness mentions in verbatim comments, hour only (illustrative)"
negative_comments,pilot_2_delight_hour,test_vs_national,-2.5,"Negative-comment share, hour only (illustrative)"
