concept_id,source_insight,HMW,value,feasibility,cost_band,status
CAL-01-launchpad,INS-01,HMW-04,5,4,medium,staged
CAL-02-status-heartbeat,INS-01,HMW-04,4,5,low,shortlisted
CAL-03-smart-checklist,INS-02,HMW-01,5,5,low,shortlisted
CAL-04-doc-receipt-ledger,INS-02,HMW-03,5,4,medium,shortlisted
CAL-05-branch-scan-desk,INS-02,HMW-01,3,4,low,parked
CAL-06-limited-live-account,INS-01,HMW-04,4,2,high,killed
CAL-07-guided-start,INS-01,HMW-05,5,3,medium,staged
CAL-08-rm-status-console,INS-01,HMW-05,4,4,medium,shortlisted
CAL-09-decision-explainer,INS-01,HMW-04,4,4,low,shortlisted
CAL-10-credit-fast-lane,INS-01,HMW-05,4,2,high,parked
CAL-11-accountant-connect,INS-02,HMW-06,4,3,medium,staged
CAL-12-accountant-consent-wallet,INS-02,HMW-06,4,3,medium,shortlisted
CAL-13-business-identity-passport,INS-02,HMW-02,5,2,high,parked
CAL-14-kyc-language-translator,INS-02,HMW-03,4,5,low,shortlisted
CAL-15-whatsapp-status-chat,INS-01,HMW-04,2,4,medium,killed
CAL-16-document-format-normalizer,INS-02,HMW-03,3,4,medium,parked
CAL-17-adjacent-product-data-reuse,INS-02,HMW-02,4,3,medium,parked
CAL-18-same-day-digital-access,INS-01,HMW-04,5,4,medium,shortlisted
CAL-19-preflight-eligibility-check,INS-02,HMW-01,4,4,low,shortlisted
CAL-20-branch-video-booth,INS-01,HMW-05,3,3,medium,parked
CAL-21-accountant-scorecard,INS-02,HMW-06,3,3,low,parked
CAL-22-open-api-bank-switch-pack,INS-01,HMW-02,3,2,high,killed
CAL-23-zero-branch-pledge,INS-01,HMW-04,3,2,medium,killed
CAL-24-manual-white-glove-pack,INS-02,HMW-05,2,5,high,killed
