tenure_week,kpi_id,kpi_name,cohort,pct_strongly_agree,target_pct,note
0,DAY1_READY,Day-1 readiness (uniform, access, training schedule, buddy),all_new_starters,40,85,illustrative baseline from Q1 wave
0,DAY1_TRAINING_SCHEDULE,Training schedule published before first shift,all_new_starters,26,90,illustrative baseline from Q1 wave
0,DAY1_SYSTEM_ACCESS,System access issued before first shift,all_new_starters,18,95,illustrative baseline from Q1 wave
2,WELCOME,Made to feel welcome,week2_cohort,46,75,illustrative baseline from Q1 wave
2,CHECKIN_MANAGER,Manager check-in happened,week2_cohort,17,80,illustrative baseline from Q1 wave
2,TRAINING_PLAN,Training plan in place,week2_cohort,17,85,illustrative baseline from Q1 wave
2,MET_EXPECTATIONS,Experience met expectations,week2_cohort,21,60,illustrative baseline from Q1 wave
6,WELCOME,Made to feel welcome,week6_cohort,49,75,illustrative baseline from Q1 wave
6,TRAINING_PREPARED,Training prepared me for the job,week6_cohort,34,80,illustrative baseline from Q1 wave
6,INDEPENDENCE,Can work a station independently,week6_cohort,23,60,illustrative baseline from Q1 wave
6,MET_EXPECTATIONS,Experience met expectations,week6_cohort,20,60,illustrative baseline from Q1 wave
12,PATH_FORWARD,See a path forward at the chain,week12_cohort,14,45,illustrative baseline from Q1 wave
12,RECOGNITION,Effort noticed and recognised,week12_cohort,23,55,illustrative baseline from Q1 wave
12,INDEPENDENCE,Can work a station independently,week12_cohort,30,60,illustrative baseline from Q1 wave
12,STRESS_MANAGEABLE,Stress manageable,week12_cohort,24,50,illustrative baseline from Q1 wave
12,RETENTION_90,90-day retention (rolling),week12_cohort,58,70,illustrative baseline to validate in pilot
