from_actor,to_actor,flow_type,weekly_volume,digital_percent
gp_practice,specialist_clinic,referral_request,300,16
gp_practice,telehealth_platform,referral_request,45,100
telehealth_platform,specialist_clinic,referral_escalation,30,100
member,specialist_clinic,self_referral_enquiry,30,15
specialist_clinic,gp_practice,referral_outcome_letter,178,24
hospital,gp_practice,discharge_summary,90,41
hospital,home_care,care_referral,55,10
home_care,gp_practice,visit_note,210,9
home_care,member,schedule_update,380,24
gp_practice,diagnostics_lab,test_order,2200,33
diagnostics_lab,gp_practice,test_result,2200,38
diagnostics_lab,member,test_result_copy,900,12
gp_practice,pharmacy,e_prescription,5800,47
telehealth_platform,pharmacy,e_prescription,340,100
pharmacy,gp_practice,interaction_alert,120,62
pharmacy,member,dispense_notification,3200,8
member,northgate,claim_submission,6150,72
northgate,member,reimbursement_payment,5900,96
northgate,telehealth_platform,eligibility_check,700,100
telehealth_platform,northgate,encounter_record,620,100
telehealth_platform,gp_practice,consult_summary,540,81
employer_programme,member,wellness_invite,850,74
member,employer_programme,participation_record,510,66
wearables_vendor,member,activity_data_feed,4100,100
member,northgate,consented_activity_summary,1900,100
northgate,employer_programme,aggregate_health_report,160,91
northgate,regulator,compliance_filing,12,88
gp_practice,member,booking_confirmation,3300,52
specialist_clinic,member,appointment_letter,240,31
member,home_care,care_request,140,16
